ID_PER,ap_reun_aut,ap_firma_pet,ap_resol_prob,ap_rec_part_pol,ap_protest,ap_toma_carr,ap_pinta,ap_busca_apoyo_osc,ap_acudir_medios,ap_presion_rs,ap_huelga
0400586.03.03,2,1,1,2,2,2,2,2,2,2,2
0400597.05.03,1,1,1,2,1,2,2,1,2,2,1
0400633.01.02,2,1,1,2,2,2,2,2,2,2,2
0400633.03.01,2,2,2,2,2,2,2,2,2,2,2
0400638.02.01,2,2,1,1,2,2,2,2,2,2,2
0400638.04.02,2,1,2,1,2,2,1,1,2,2,2
0400641.01.02,1,2,2,2,1,2,2,2,2,1,2
0400729.01.01,2,1,2,2,1,2,2,2,2,2,2
0400746.04.04,2,2,2,2,2,2,2,2,2,2,2
0400792.03.01,2,1,2,2,2,2,2,2,2,2,2
0400806.05.03,2,2,2,2,2,2,2,2,2,2,2
0400812.03.01,2,2,2,1,2,2,2,2,2,1,2
0400850.05.03,1,1,2,2,2,2,2,2,2,2,2
0400858.02.02,1,1,2,2,2,2,2,2,2,2,2
0400882.05.01,1,2,2,2,2,2,2,2,2,2,2
0400932.01.01,2,2,2,2,2,2,2,2,2,2,2
0400954.03.02,2,1,2,2,2,2,2,2,2,2,2
0400956.02.01,2,2,1,2,2,2,2,2,2,2,2
0400956.05.05,2,2,2,2,2,2,2,1,2,2,2
0400994.01.02,1,1,1,2,2,2,2,2,2,2,2
0401001.05.02,2,2,2,2,2,2,2,2,2,2,2
0401012.03.01,1,2,2,2,1,2,2,2,2,2,2
0401043.03.03,2,2,2,1,2,1,2,1,1,1,2
0401051.02.01,2,2,2,2,2,2,2,2,2,2,1
0401063.03.01,2,2,2,2,2,2,2,2,2,2,2
0401152.07.02,2,2,2,2,2,2,2,2,2,2,2
0401152.16.02,2,2,2,1,2,2,2,2,2,2,2
0401152.17.02,2,1,2,2,2,2,2,2,2,2,2
0401160.11.01,2,1,1,1,1,2,2,2,2,2,2
0401193.12.02,1,2,2,1,1,2,1,1,1,1,2
0401237.05.01,2,2,2,2,2,2,2,2,2,2,2
0401237.14.02,2,2,2,2,2,2,2,2,2,2,2
0401278.03.02,2,2,2,2,2,2,2,1,2,2,2
0401278.04.01,2,2,2,2,2,2,2,2,2,2,2
0401284.02.04,2,2,2,2,2,2,2,2,2,2,2
0401296.04.02,1,2,2,1,2,2,2,2,2,2,2
0401296.08.01,1,1,1,2,2,2,2,1,2,2,2
0401296.11.02,1,1,1,2,2,2,2,2,2,1,2
0401296.12.02,2,2,2,2,2,2,2,2,2,2,2
0401323.12.01,1,1,2,2,2,2,2,2,2,2,2
0401323.16.04,2,2,2,2,2,2,2,2,2,2,2
0401329.15.01,2,2,2,2,2,2,2,2,2,2,2
0401337.01.03,2,2,2,2,2,2,2,2,2,2,2
0401337.10.02,2,2,2,2,2,2,2,2,2,2,2
0401337.13.01,2,2,1,1,1,2,2,1,2,2,2
0401513.04.02,2,1,1,2,2,2,2,2,2,2,2
0401513.05.01,2,1,1,2,2,2,2,2,2,2,2
0460038.14.01,1,2,2,2,1,2,2,2,2,2,2
0460119.03.01,1,2,1,1,2,2,2,2,2,2,2
0460135.04.02,2,1,1,2,2,2,2,2,2,2,2
0460171.22.02,1,2,2,2,2,2,2,2,2,2,2
