"","CVE_ENT","FAC_SEL","dona_sangre_ef","dona_alimen_ef","aux_desconocido_ef","dona_org_social_ef","p_sindicato_ef","p_gpo_estud_ef","p_asoc_prof_ef","p_org_reli_ef","p_org_depor_ef","p_org_cultura_ef","p_asoc_padres_ef","p_voluntariado_ef","p_org_dh_ef","p_org_ambient_ef","p_org_vecinal_ef"
"129","01",2901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"130","01",1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"131","01",2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"132","01",2000,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"133","01",4000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"134","01",2085,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"135","01",2085,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
"136","01",4169,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0
"137","01",3127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"138","01",3127,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
"139","01",1938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"140","01",969,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1
"141","01",2906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"142","01",1938,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
"143","01",1837,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"144","01",3673,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"145","01",1837,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"146","01",4592,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"147","01",1753,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"148","01",1753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"149","01",1753,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"150","01",876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"151","01",2798,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"152","01",2798,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1
"153","01",933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"154","01",2798,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
"155","01",931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"156","01",2793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"157","01",2793,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"158","01",1862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"159","01",4656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"160","01",1882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"161","01",3764,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
"162","01",941,0,1,1,1,0,0,0,1,0,1,0,1,0,0,0
"163","01",3764,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
"164","01",1982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"165","01",3964,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"166","01",1982,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"167","01",1982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"168","01",4956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"169","01",3566,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"170","01",3566,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"171","01",2675,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0
"172","01",1783,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
"173","01",3566,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0
"174","01",1947,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"175","01",974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"176","01",1947,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"177","01",4868,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"178","01",2921,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"179","01",1874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"180","01",1874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"181","01",2811,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
"182","01",1874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"183","01",1912,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"184","01",2868,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"185","01",2868,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"186","01",3825,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"187","01",2868,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"188","01",3909,0,1,1,0,0,1,0,1,1,1,0,0,0,0,0
"189","01",1954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"190","01",977,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"191","01",4886,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"192","01",977,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0
"193","01",1903,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1
"194","01",952,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"195","01",4507,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"196","01",2704,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"197","01",901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"198","01",2704,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"199","01",5366,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1
"200","01",5366,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"201","01",5366,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"202","01",3219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"203","01",1834,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0
"204","01",1834,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"205","01",917,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"206","01",1834,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0
"207","01",3596,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"208","01",2697,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1
"209","01",2697,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"210","01",1798,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
"211","01",4495,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"212","01",4263,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"213","01",3411,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"214","01",1705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"215","01",3411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"216","01",2763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"217","01",2763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"218","01",3685,0,1,1,0,1,1,0,0,1,1,0,0,0,0,1
"219","01",1466,1,1,1,1,0,1,0,1,0,1,0,1,1,0,0
"220","01",4397,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0
"221","01",5862,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0
"222","01",1728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"223","01",864,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"224","01",1728,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"225","01",864,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"226","01",2592,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"227","01",3724,0,1,1,1,0,1,0,0,0,1,1,0,0,0,0
"228","01",2483,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
"229","01",1241,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"230","01",1241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"231","01",2708,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
"232","01",3611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"233","01",2708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"234","01",3611,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"235","01",2708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"236","01",2867,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"237","01",1911,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"238","01",2867,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"239","01",3822,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"240","01",9062,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"241","01",4531,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"242","01",4531,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1
"243","01",4531,0,1,1,0,1,0,1,0,0,0,1,0,0,0,1
"244","01",3026,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"245","01",2017,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1
"246","01",4035,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1
"247","01",1009,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"248","01",4035,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"249","01",1904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"250","01",4761,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0
"251","01",952,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"252","01",5713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"253","01",1156,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"254","01",578,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0
"255","01",1156,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0
"256","01",1734,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"257","01",578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"258","01",1734,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
"259","01",578,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"260","01",578,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"261","01",2889,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0
"262","01",2311,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"263","01",2311,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"264","01",1156,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"265","01",578,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"266","01",1734,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1
"267","01",578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"268","01",1734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"269","01",1734,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"270","01",2889,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0
"271","01",3016,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"272","01",1207,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"273","01",2413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"274","01",603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"275","01",2045,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"276","01",2045,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"277","01",2045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"278","01",2045,0,1,1,0,0,1,0,0,1,1,0,0,0,1,0
"279","01",2045,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0
"280","01",1123,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"281","01",1684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"282","01",1123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"283","01",1123,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1
"284","01",2409,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"285","01",1807,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"286","01",1807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"287","01",1807,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0
"288","01",3614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"289","01",3011,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"290","01",602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"291","01",1205,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0
"292","01",1807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"293","01",2409,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"294","01",602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"295","01",1205,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"296","01",1807,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"297","01",2409,0,1,1,1,0,0,1,0,1,0,0,1,0,0,0
"298","01",1205,1,1,1,0,0,0,0,0,1,0,1,0,0,0,1
"299","01",3011,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"300","01",1205,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
