ID_PER,FAC_SEL,CVE_ENT,d_dona_sangre,d_dona_alimen,d_aux_desconocido,d_dona_org_social,p_sindicato,p_gpo_estud,p_part_pol,p_org_reli,p_org_depor,p_org_cultura,p_asoc_padres,p_voluntariado,p_org_dh,p_org_ambient,p_org_vecinal,p_org_exig_gob,es_vinculo,conoce_vinculo,p_volun,reun_relig,reun_fiestas,reun_prob_pub,reun_vigil,reun_exig_aut,reun_conviv,reun_otro
0160073.12.01,972,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,
0160073.14.01,972,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,4,2,3,4,
0160073.19.02,1944,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,4,4,4,1,
0160114.03.01,5861,1,1,1,1,1,1,0,0,0,1,0,1,1,0,0,0,1,1,0,1,3,3,2,2,2,4,
0160114.06.02,4396,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,3,3,2,1,3,3,
0160114.08.01,2930,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,2,2,2,
0160114.09.01,1465,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,3,2,2,2,2,
0160114.13.02,2930,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,4,4,2,2,2,2,
0160114.17.01,2930,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,,,3,2,3,4,
0160114.20.01,2930,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,3,,
0160148.20.02,853,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,3,2,3,2,4,
0160196.03.01,866,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,1,3,4,
0160196.04.02,866,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,2,2,3,
0160196.06.01,1732,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,2,4,4,
0160196.08.02,1732,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,2,2,2,
0160196.12.01,1732,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,2,2,3,
0160196.15.01,1732,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,4,1,1,1,1,
0160196.20.02,1732,1,1,1,1,1,0,0,1,0,0,1,1,0,0,0,1,1,0,1,0,4,2,2,1,1,2,
0160206.07.02,2338,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,2,2,2,
0160206.08.02,779,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4,3,3,3,3,
0160206.17.01,779,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,3,3,3,3,4,2,
0200191.02.02,14627,2,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,4,4,4,4,4,4,
0200492.03.01,2587,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,4,4,4,4,4,
0200519.02.01,5044,2,1,1,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,4,4,4,2,4,2,
0200519.04.02,15133,2,0,1,1,1,1,0,1,0,1,1,1,1,1,1,0,0,1,1,1,4,4,3,3,4,4,3
0201438.04.02,6210,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,3,1,3,4,3,3,
0201438.05.02,6210,2,1,1,1,1,0,0,1,0,1,1,1,1,0,0,0,0,1,1,0,1,1,2,4,4,4,
0201506.05.02,6071,2,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,2,2,2,2,2,
0201507.02.02,9366,2,1,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,4,4,2,2,3,4,
0201895.04.01,2876,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4,4,3,4,
0202381.05.01,3147,2,0,1,1,0,0,1,0,1,1,0,0,1,0,0,0,0,1,1,0,4,2,4,4,2,2,
0202528.01.02,6028,2,0,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,4,4,3,3,3,4,
0202528.02.01,6028,2,1,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,3,3,4,3,3,4,
0202760.02.03,5872,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,3,3,4,4,4,
0202801.01.02,8938,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,1,1,2,3,3
0202801.03.02,5959,2,1,1,1,1,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,4,1,1,1,2,1,
0202801.04.02,5959,2,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,4,2,1,1,2,2,
0202801.05.02,5959,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,3,2,3,3,2,
0203282.01.03,11862,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,
0203282.05.01,3954,2,1,1,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,4,2,4,4,4,4,
0203527.05.02,7374,2,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,4,3,3,3,3,3,
0203570.02.04,10966,2,0,1,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,4,2,4,2,4,2,
0203570.04.01,2742,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,4,4,4,4,
0204165.03.03,13187,2,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1,1,0,1,1,2,2,2,1,2,1,
0204217.03.01,6159,2,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,3,3,3,3,3,
0204246.01.01,4289,2,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,4,2,4,4,4,4,
0204379.01.01,9315,2,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,4,3,2,2,4,
0204500.02.01,7002,2,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,3,3,3,3,4,4,
0204500.05.01,7002,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,4,1,2,2,4,4,
0204597.02.01,5446,2,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,4,1,2,4,3,2,
0204597.03.01,2723,2,0,1,1,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,4,4,4,4,3,3,
0204612.01.01,2832,2,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,4,4,4,4,4,4,
0204932.02.01,3493,2,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,4,4,4,4,4,4,
0205193.02.03,10236,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,4,4,4,3,4,
0205793.03.04,9891,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,2,2,1,1,2,
0205880.01.03,8473,2,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,3,2,1,1,2,
0207072.13.03,10554,2,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,3,3,3,2,2,4,
0207072.17.01,5277,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,4,4,4,4,4,
0207176.17.01,14138,2,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,2,1,4,4,3,3,
0207176.19.01,5655,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,2,4,3,4,3,
0207496.01.02,8258,2,1,1,1,1,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,3,4,4,4,3,4,
0208069.06.01,4159,2,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,2,2,3,3,3,3,
0260105.08.01,1567,2,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,4,4,4,4,4,2,
0260105.09.02,3133,2,0,1,1,1,0,0,1,0,1,1,0,1,0,1,0,1,1,1,0,4,1,3,4,2,2,
0260105.14.01,3133,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,3,3,3,
0260105.18.02,1567,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,4,4,4,4,
0260205.14.01,491,2,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,2,1,1,2,1,1,
0260247.05.03,7329,2,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,4,4,2,2,2,4,
0260247.11.02,4886,2,1,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,4,2,3,3,3,3,
0260247.18.01,2443,2,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,3,3,3,
0260310.13.01,712,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,2,2,2,4,4,
0260310.18.01,1424,2,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,4,4,4,4,4,4,
0260310.21.01,1424,2,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,1,3,2,3,3,3,3,
0260319.05.01,368,2,0,1,1,1,0,1,1,1,0,1,1,1,1,0,0,1,1,1,0,3,3,2,2,3,2,
0300007.02.04,2753,3,1,1,1,0,0,1,0,1,0,1,1,0,0,0,0,0,1,1,1,4,4,3,3,3,3,
0300007.03.01,2064,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,
0300024.05.01,1320,3,1,1,1,0,0,1,0,1,0,1,1,1,0,0,1,0,0,1,0,,,,,,,
0300072.02.04,2800,3,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,0,1,0,4,3,3,1,3,3,
0300092.04.01,1176,3,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,,,,,,
0300154.02.01,587,3,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,3,4,3,3,3,3,
0300158.01.02,1137,3,0,1,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0,1,0,4,4,4,4,4,4,
0300158.05.02,1137,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,4,4,4,4,4,
0300182.02.01,651,3,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,4,3,1,1,2,1,
0300232.03.01,1269,3,0,1,1,0,0,0,0,0,1,0,1,1,1,0,1,0,1,1,0,4,4,4,4,4,3,
0300269.01.03,2289,3,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,4,4,2,4,2,2,
